key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
NI,2020-01-01,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.144444,20.761111,30.261111,0.0,,20.372222,71.494466
NI,2020-01-02,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.455556,20.788889,30.511111,0.09525,,19.755556,67.661887
NI,2020-01-03,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.444444,20.327778,30.727778,0.0,,20.088889,68.797329
NI,2020-01-04,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,27.366667,21.222222,32.083333,0.0,,20.505556,66.872592
NI,2020-01-05,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.961111,21.55,31.244444,0.0,,19.705556,66.031976
NI,2020-01-06,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.066667,21.916667,30.211111,0.0,,20.466667,72.516973
NI,2020-01-07,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.211111,20.827778,30.6,0.0,,20.0,69.72081
NI,2020-01-08,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,26.061111,22.172222,29.738889,0.0,,19.011111,66.558232
NI,2020-01-09,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,25.983333,21.3,29.261111,0.0,,20.305556,72.089033
NI,2020-01-10,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,,,,,,,NI,NIC,0,0,0,,,0,0,,,,,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55049.0,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,74424,18606,76184,12520915291,1912,0.531,287666,13.0,-85.0,,130370,115694,2882,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78734099999,106.917984,27.283333,22.722222,30.638889,0.042333,,20.488889,67.545049
